61635;19
87203;0
58120;2
9798;22
97999;1
70430;5
142903;10
38903;6
110124;15
96988;14
80947;3
116989;21
16379;18
86811;19
27250;3
145781;10
14017;26
54183;26
7220;19
75618;1
119451;20
100896;15
139982;3
14796;19
104544;11
3183;13
131842;17
53730;17
26868;0
99067;4
9380;8
55799;26
72641;6
43307;8
62311;18
77719;26
146626;1
61210;0
6547;9
65380;20
130517;7
37535;7
139575;26
50543;4
21889;1
49589;5
79173;26
88696;14
51115;2
110971;2
5087;10
115499;8
144277;14
145506;15
20350;18
62774;4
12363;3
12802;19
91436;13
103316;11
83412;5
145750;9
18622;24
55043;2
59806;6
68474;18
1782;18
5750;15
27362;26
137801;5
120973;16
49467;25
97171;14
70961;15
33302;12
78617;12
84177;2
146555;15
69652;16
111868;26
104094;26
118937;2
89230;26
1472;21
143350;12
73498;20
115521;19
145361;7
69409;9
29194;21
86795;15
86711;0
33687;11
107378;26
58904;10
54651;2
1979;2
5648;3
78015;25
32728;8
141130;11
90850;6
92995;24
48308;25
113055;17
122386;18
52333;4
107895;26
4733;25
130117;14
4295;26
138868;24
44738;16
13299;17
64553;6
143957;23
28622;21
49331;2
55724;25
32625;11
8969;17
126807;16
139598;6
120926;11
78027;5
4774;10
64360;26
38304;18
120496;13
66870;15
106373;18
136715;14
66482;25
53050;21
108807;18
34186;22
34758;12
63891;19
51788;26
52776;19
128238;4
99371;8
39474;6
118901;5
74240;3
119362;22
22986;22
123065;21
250;3
80855;26
53738;20
86011;14
95709;13
31793;2
29355;3
57583;2
88788;6
110353;8
102646;19
110657;21
120152;18
67995;7
116481;2
78147;18
121334;10
116098;26
10974;18
32663;2
147215;26
56291;4
33749;12
84572;20
16338;6
103627;14
58405;11
117898;15
32399;13
124428;3
77337;9
110501;24
80021;22
25640;25
15059;13
107349;7
104494;1
33422;18
51013;1
77630;25
99015;15
112548;3
64243;18
108011;16
8813;23
45325;14
103578;3
133758;4
8359;1
109555;23
112815;4
116396;13
128761;0
121400;19
46821;15
95769;26
16900;12
46266;5
7599;18
120930;23
38330;3
136490;23
125985;26
131694;8
59522;18
50446;26
128589;13
100910;26
14697;24
95558;26
86707;9
13506;1
59834;12
93305;7
72108;1
125840;1
76720;17
74179;11
48251;1
70940;23
104652;10
88506;24
63517;6
101256;18
126579;14
16812;13
64998;5
29690;0
113957;5
63714;13
67503;20
66475;13
132046;1
129912;6
130509;24
102670;16
106228;8
145923;11
75688;26
10221;6
105949;3
61136;5
60246;20
134824;18
1026;24
140340;25
133943;23
50235;6
11013;2
52593;26
61276;14
21350;24
104809;0
27541;9
84644;26
24328;17
41722;17
2458;15
107307;1
131581;24
29984;15
28732;23
102118;26
127471;9
73825;5
98390;20
70012;13
113857;2
89197;14
22479;7
68413;24
66989;26
116890;16
79111;13
55298;12
108497;14
60735;3
93585;4
143531;21
131361;16
129596;9
129139;21
29670;18
439;16
142094;6
43995;24
8468;10
26182;8
7758;16
17763;8
37396;0
16206;10
26382;23
31060;15
43436;11
51305;26
37879;11
23494;12
32522;7
79378;5
55322;0
71285;25
110440;0
127574;7
64134;17
38870;5
91967;0
2048;13
80722;5
85418;14
79254;16
40197;23
104642;0
135090;24
5690;16
49169;18
57041;10
144344;21
26894;24
147769;13
137150;25
19839;24
101433;25
96881;17
24923;16
24220;12
96340;10
449;10
140614;20
42506;17
111367;7
139671;5
54515;5
40183;25
67900;8
104001;18
146697;25
147741;20
133799;8
77745;11
146526;4
86416;0
53116;3
146255;5
89674;10
111848;9
47589;16
129324;12
21162;1
117054;23
40656;8
65020;26
138916;0
22493;20
86589;1
41415;26
56855;17
98728;1
25030;25
46198;0
126901;19
